x,y,reaction_time_sec,timestamp,status
1208,394,0.94,2025-05-25 00:00:38,popped
354,775,0.83,2025-05-25 00:00:39,popped
736,1013,1.27,2025-05-25 00:00:41,popped
1230,236,0.87,2025-05-25 00:00:42,popped
1373,113,1.0,2025-05-25 00:00:44,popped
169,947,1.0,2025-05-25 00:00:45,popped
176,434,0.96,2025-05-25 00:00:47,popped
173,577,0.98,2025-05-25 00:00:48,popped
734,430,0.73,2025-05-25 00:00:50,popped
370,695,0.89,2025-05-25 00:00:51,popped
708,172,0.84,2025-05-25 00:00:53,popped
1815,594,0.97,2025-05-25 00:00:54,popped
1590,863,0.82,2025-05-25 00:00:56,popped
1743,344,1.13,2025-05-25 00:00:58,popped
1348,135,0.81,2025-05-25 00:00:59,popped
1181,268,0.55,2025-05-25 00:01:00,popped
1722,104,1.51,2025-05-25 00:01:03,popped
1759,628,0.89,2025-05-25 00:01:03,popped
262,1024,1.39,2025-05-25 00:01:05,popped
511,167,1.2,2025-05-25 00:01:07,popped
1511,475,0.79,2025-05-25 00:01:08,popped
1115,120,0.68,2025-05-25 00:01:09,popped
