x,y,reaction_time_sec,timestamp,status
476,475,1.42,2025-05-21 15:30:04,popped
414,533,0.65,2025-05-21 15:30:05,popped
429,180,0.98,2025-05-21 15:30:07,popped
732,412,0.93,2025-05-21 15:30:09,popped
273,542,0.88,2025-05-21 15:30:10,popped
735,49,0.83,2025-05-21 15:30:11,popped
227,252,0.9,2025-05-21 15:30:13,popped
85,146,1.0,2025-05-21 15:30:15,popped
727,529,0.88,2025-05-21 15:30:16,popped
288,151,0.91,2025-05-21 15:30:18,popped
342,428,0.73,2025-05-21 15:30:19,popped
595,555,1.12,2025-05-21 15:30:21,popped
467,187,1.14,2025-05-21 15:30:22,popped
654,102,0.9,2025-05-21 15:30:24,popped
592,217,2.84,2025-05-21 15:30:27,popped
565,242,1.68,2025-05-21 15:30:27,popped
610,340,1.06,2025-05-21 15:30:28,popped
105,355,1.67,2025-05-21 15:30:30,popped
642,193,1.08,2025-05-21 15:30:31,popped
579,440,1.4,2025-05-21 15:30:33,popped
514,483,1.01,2025-05-21 15:30:34,popped
