x,y,reaction_time_sec,timestamp,status
232,91,2.84,2025-05-19 01:40:09,popped
329,235,2.08,2025-05-19 01:40:10,popped
287,226,0.96,2025-05-19 01:40:10,popped
290,350,0.69,2025-05-19 01:40:11,popped
91,374,1.23,2025-05-19 01:40:13,popped
697,322,1.62,2025-05-19 01:40:15,popped
740,63,1.18,2025-05-19 01:40:16,popped
714,239,1.12,2025-05-19 01:40:18,popped
133,242,1.55,2025-05-19 01:40:20,popped
527,317,,2025-05-19 01:40:23,missed
450,178,,2025-05-19 01:40:24,missed
625,262,,2025-05-19 01:40:26,missed
497,44,,2025-05-19 01:40:27,missed
142,474,1.55,2025-05-19 01:40:27,popped
481,543,1.39,2025-05-19 01:40:29,popped
316,542,1.25,2025-05-19 01:40:30,popped
196,304,1.09,2025-05-19 01:40:32,popped
405,362,1.02,2025-05-19 01:40:33,popped
448,221,1.18,2025-05-19 01:40:35,popped
108,167,1.17,2025-05-19 01:40:36,popped
753,73,1.39,2025-05-19 01:40:38,popped
571,463,1.02,2025-05-19 01:40:39,popped
